timestamp,message_id,readable_message,category
Apr 15 2013 09:36:50,%ASA-4-106023:,"Deny tcp src dmz:10.1.2.30/63016 dst outside:192.0.0.8/53 type 3, code 0, by access-group ""acl_dmz"" [0xe3aab522, 0x0]\",Error
Apr 29 2013 12:59:50,%ASA-6-305011:,Built dynamic TCP translation from outside:10.123.3.42/4952 to outside:192.0.2.130/12834\,Error
Apr 29 2013 12:59:50,%ASA-6-302013:,Built outbound TCP connection 89743274 for outside:192.0.2.43/443 (192.0.2.43/443) to outside:10.123.3.42/4952 (10.123.3.42/12834)\,Error
Apr 29 2013 12:59:50,%ASA-6-305011:,Built dynamic UDP translation from outside:10.123.1.35/52925 to outside:192.0.2.130/25882\,Error
Apr 29 2013 12:59:50,%ASA-6-302015:,Built outbound UDP connection 89743275 for outside:192.0.2.222/53 (192.0.2.43/53) to outside:10.123.1.35/52925 (10.123.1.35/25882)\,Error
Apr 29 2013 12:59:50,%ASA-6-305011:,Built dynamic TCP translation from outside:10.123.3.42/4953 to outside:192.0.2.130/45392\,Error
Apr 29 2013 12:59:50,%ASA-6-302013:,Built outbound TCP connection 89743276 for outside:192.0.2.1/80 (192.0.2.1/80) to outside:10.123.3.42/4953 (10.123.3.130/45392)\,Error
Apr 29 2013 12:59:50,%ASA-6-302016:,Teardown UDP connection 89743275 for outside:192.0.2.222/53 to inside:10.123.1.35/52925 duration 1:23:45 bytes 140\,Error
Apr 29 2013 12:59:50,%ASA-6-302016:,Teardown UDP connection 666 for outside:192.0.2.222/53 user1 to inside:10.123.1.35/52925 user2 duration 10:00:00 bytes 9999999\,Error
Apr 29 2013 12:59:50,%ASA-6-305011:,Built dynamic TCP translation from inside:192.168.3.42/4954 to outside:192.0.0.130/10879\,Error
Apr 29 2013 12:59:50,%ASA-6-302013:,Built outbound TCP connection 89743277 for outside:192.0.0.17/80 (192.0.0.17/80) to inside:192.168.3.42/4954 (10.0.0.130/10879)\,Error
Apr 30 2013 09:22:33,%ASA-2-106007:,Deny inbound UDP from 192.0.0.66/12981 to 10.1.2.60/53 due to DNS Query\,Error
Apr 30 2013 09:22:38,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.16(2006) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:22:38,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.46(49734) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:22:39,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.46(49735) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:22:39,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.46(49736) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:22:39,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.46(49737) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:22:40,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.46(49738) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:22:41,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.46(49746) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:22:47,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.16(2007) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:22:48,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.13(43013) -> dmz/192.168.33.31(25) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:22:56,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.16(2008) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:23:02,%ASA-2-106006:,Deny inbound UDP from 192.0.2.66/137 to 10.1.2.42/137 on interface inside\,Error
Apr 30 2013 09:23:03,%ASA-2-106007:,Deny inbound UDP from 192.0.2.66/12981 to 10.1.5.60/53 due to DNS Query\,Error
Apr 30 2013 09:23:06,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.16(2009) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:23:08,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.46(49776) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:23:15,%ASA-5-106100:,"access-list acl_in permitted tcp inside/10.0.0.16(2010) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:23:24,%ASA-5-106100:,"access-list acl_in denied tcp inside/10.0.0.16(2011) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:23:34,%ASA-5-106100:,"access-list acl_in denied tcp inside/10.0.0.16(2012) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:23:40,%ASA-4-106023:,"Deny tcp src outside:192.0.2.126/53638 dst inside:10.0.0.132/8111 by access-group ""acl_out"" [0x71761f18, 0x0]\",Error
Apr 30 2013 09:23:41,%ASA-4-106023:,"Deny tcp src outside:192.0.2.126/53638 dst inside:10.0.0.132/8111 by access-group ""acl_out"" [0x71761f18, 0x0]\",Error
Apr 30 2013 09:23:43,%ASA-5-106100:,"access-list acl_in est-allowed tcp inside/10.0.0.46(49840) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Apr 30 2013 09:23:43,%ASA-5-106100:,"access-list acl_in est-allowed tcp inside/10.0.0.16(2013) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\",Error
Jan 14 2015 13:16:13,%ASA-4-313004:,"Denied ICMP type=0, from laddr 172.16.30.2 on interface inside to 172.16.1.10: no matching session\",Error
Jan 14 2015 13:16:14,%ASA-4-338002:,"Dynamic Filter permitted black listed TCP traffic from inside:10.1.1.45/6798 (192.88.99.1/7890) to outside:192.88.99.129/80 (192.88.99.129/80), destination 192.88.99.129 resolved from dynamic list: bad.example.com\",Error
Jan 14 2015 13:16:14,%ASA-4-338004:,"Dynamic Filter monitored blacklisted TCP traffic from inside:10.1.1.1/33340 (10.2.1.1/33340) to outsidet:192.0.2.223/80 (192.0.2.223/80), destination 192.0.2.223 resolved from dynamic list: 192.0.2.223/255.255.255.255, threat-level: very-high, category: Malware\",Non-Error
Jan 14 2015 13:16:14,%ASA-4-338008:,"Dynamic Filter dropped blacklisted TCP traffic from inside:10.1.1.1/33340 (10.2.1.1/33340) to outsidet:192.0.2.223/80 (192.0.2.223/80), destination 192.0.2.223 resolved from dynamic list: 192.0.2.223/255.255.255.255, threat-level: very-high, category: Malware\",Non-Error
Nov 16 2009 14:12:35,%ASA-5-304001:,10.30.30.30 Accessed URL 192.0.2.1:/app\,Error
Nov 16 2009 14:12:36,%ASA-5-304001:,10.5.111.32 Accessed URL 192.0.2.32:http://example.com\,Error
Nov 16 2009 14:12:37,%ASA-5-304002:,Access denied URL http://www.example.net/images/favicon.ico SRC 10.69.6.39 DEST 192.0.0.19 on interface inside\,Error
Jan 13 2021 19:12:37,%ASA-6-302013:,Built inbound TCP connection 27215708 for internet:10.2.3.4/49926 (81.2.69.143/49926)(LOCAL\\username) to vlan-42:81.2.69.143/80 (81.2.69.143/80) (username)\,Non-Error
Jan 13 2021 19:12:37,%ASA-5-304001:,USER001@192.168.0.1(LOCAL\\USER001) Accessed URL 172.17.6.211:http://testingserver.com/somewebpage.html\,Error
Jan 13 2021 19:12:37,%ASA-5-302013:,Built inbound TCP connection 195207391 for OUTSIDE:1.128.3.4/12312 (62.0.0.1/34534)(LOCAL\\USER001) to OUTSIDE:89.160.20.156/443 (89.160.20.156/443) (USER001)\,Non-Error
Jan 13 2021 19:12:37,%ASA-5-302013:,Built inbound TCP connection 195207391 for OUTSIDE:1.128.3.4/12312 (62.0.0.1/34534)(LOCAL\\user@domain.tld) to OUTSIDE:89.160.20.156/443 (89.160.20.156/443) (user@domain.tld)\,Non-Error
Jan 13 2021 19:12:37,%ASA-5-302020:,Built inbound ICMP connection for faddr 1.128.3.4/0(LOCAL\\USER001) gaddr 89.160.20.156/0 laddr 89.160.20.156/0 (USER001) type 3 code 3\,Error
